dt,cos,sin,angle,angular_velocity
0.011,0.997725,0.067414,0.067465,0.288913
0.010,0.997293,0.073535,0.073601,0.613529
0.010,0.996944,0.078123,0.078203,0.460194
0.010,0.996315,0.085767,0.085873,0.766755
0.010,0.995628,0.093407,0.093543,0.766908
0.010,0.994726,0.102566,0.102747,0.920286
0.011,0.993740,0.111717,0.111951,0.866564
0.010,0.992483,0.122381,0.122689,1.073555
0.011,0.990907,0.134551,0.134960,1.155710
0.010,0.988726,0.149735,0.150300,1.477201
0.010,0.986814,0.161857,0.162572,1.226912
0.011,0.983111,0.183010,0.184048,2.022619
0.011,0.979883,0.199573,0.200922,1.588499
0.010,0.976044,0.217575,0.219329,1.838448
0.011,0.970039,0.242951,0.245407,2.456873
0.010,0.964598,0.263726,0.266883,2.147412
0.010,0.956054,0.293190,0.297562,3.067159
0.011,0.947104,0.320927,0.326708,2.744030
0.010,0.936276,0.351265,0.358922,3.219202
0.010,0.923303,0.384072,0.394203,3.443057
0.011,0.905960,0.423363,0.437155,4.037079
0.011,0.885525,0.464592,0.483174,4.333370
0.010,0.865529,0.500859,0.524592,4.139747
0.011,0.835723,0.549152,0.581349,5.340494
0.010,0.802311,0.596907,0.639640,5.823493
0.011,0.765187,0.643809,0.699465,5.628327
0.011,0.717891,0.696156,0.770028,6.640719
0.010,0.667022,0.745038,0.840591,7.046233
0.010,0.601866,0.798597,0.924960,8.080246
0.011,0.523309,0.852143,1.020067,8.985083
0.011,0.442774,0.896633,1.112106,8.654349
0.010,0.349884,0.936793,1.213349,10.102925
0.011,0.241521,0.970396,1.326864,10.661832
0.010,0.122440,0.992476,1.448048,12.087585
0.011,-0.007640,0.999971,1.578436,12.242853
0.010,-0.139110,0.990277,1.710359,13.147417
0.011,-0.290256,0.956949,1.865291,14.531776
0.010,-0.427528,0.904002,2.012553,14.670144
0.010,-0.569496,0.821994,2.176689,15.932128
0.010,-0.697256,0.716822,2.342359,16.491312
0.011,-0.816683,0.577086,2.526436,17.240223
0.010,-0.904631,0.426195,2.701310,17.394907
0.010,-0.967359,0.253411,2.885388,18.302162
0.010,-0.997174,0.075124,3.066397,18.002295
0.011,-0.992103,-0.125425,-3.015836,18.784292
0.010,-0.954237,-0.299051,-2.837894,17.696886
0.010,-0.888359,-0.459150,-2.664555,17.245584
0.011,-0.788365,-0.615208,-2.478943,17.380655
0.010,-0.669305,-0.742988,-2.304069,16.771147
0.011,-0.538905,-0.842366,-2.139933,15.383161
0.010,-0.405269,-0.914198,-1.988069,15.122046
0.010,-0.275601,-0.961272,-1.850011,13.755139
0.011,-0.133090,-0.991104,-1.704283,13.670954
0.011,-0.000030,-1.000000,-1.570826,12.529242
0.011,0.123903,-0.992294,-1.446574,11.664280
0.010,0.234013,-0.972233,-1.334593,11.174680
0.011,0.332525,-0.943094,-1.231817,9.647901
0.011,0.423363,-0.905960,-1.133642,9.236439
0.010,0.498202,-0.867061,-1.049273,8.425202
0.011,0.569496,-0.821994,-0.964904,7.931930
0.010,0.627229,-0.778835,-0.892807,7.202047
0.010,0.679454,-0.733718,-0.823778,6.896050
0.011,0.724226,-0.689562,-0.760884,5.912116
0.011,0.763169,-0.646199,-0.702593,5.489320
0.010,0.794889,-0.606755,-0.651972,5.059993
0.010,0.819330,-0.573322,-0.610554,4.137242
0.011,0.845657,-0.533726,-0.563001,4.476891
0.010,0.863184,-0.504889,-0.529253,3.292444
0.010,0.877531,-0.479520,-0.500108,2.914164
0.010,0.890435,-0.455110,-0.472496,2.759720
0.011,0.903319,-0.428968,-0.443350,2.743490
0.010,0.912323,-0.409471,-0.421875,2.145696
0.011,0.920906,-0.389786,-0.400399,2.022430
0.011,0.925619,-0.378455,-0.388127,1.155405
0.010,0.930756,-0.365641,-0.374321,1.380522
0.010,0.934082,-0.357059,-0.365117,0.920377
0.011,0.936793,-0.349884,-0.357448,0.721528
0.010,0.937862,-0.347009,-0.354380,0.295877
0.010,0.937329,-0.348447,-0.355914,-0.153383
0.010,0.936793,-0.349884,-0.357448,-0.153274
0.011,0.936255,-0.351321,-0.358982,-0.144511
0.010,0.932429,-0.361354,-0.369719,-1.073338
0.011,0.929630,-0.368495,-0.377389,-0.722413
0.010,0.925619,-0.378455,-0.388127,-1.073640
0.010,0.917279,-0.398245,-0.409603,-2.145267
0.011,0.911062,-0.412269,-0.424943,-1.445054
0.010,0.903319,-0.428968,-0.443350,-1.840494
0.010,0.889035,-0.457840,-0.475564,-3.143151
0.010,0.876056,-0.482210,-0.503176,-2.758068
0.011,0.861631,-0.507535,-0.532321,-2.742482
0.011,0.839044,-0.544064,-0.575273,-4.042376
0.011,0.815797,-0.578338,-0.616690,-3.897380
0.011,0.785488,-0.618877,-0.667312,-4.763218
0.011,0.751145,-0.660137,-0.721001,-5.051149
0.010,0.714638,-0.699495,-0.774690,-5.363691
0.011,0.668120,-0.744054,-0.839117,-6.064670
0.010,0.611573,-0.791188,-0.912749,-7.092612
0.010,0.552992,-0.833187,-0.984846,-7.202737
0.010,0.482158,-0.876084,-1.067680,-8.274022
0.010,0.406616,-0.913599,-1.152050,-8.426062
0.010,0.318020,-0.948084,-1.247156,-9.493490
0.011,0.214580,-0.976707,-1.354535,-10.093472
0.010,0.107143,-0.994244,-1.463448,-10.867568
0.010,-0.010768,-0.999942,-1.581564,-11.784204
0.011,-0.136130,-0.990691,-1.707350,-11.806416
0.011,-0.280021,-0.959994,-1.854613,-13.807332
0.010,-0.412269,-0.911062,-1.995739,-13.729460
0.010,-0.546635,-0.837371,-2.149137,-15.267498
0.011,-0.680623,-0.732634,-2.319409,-15.954269
0.011,-0.798633,-0.601818,-2.495817,-16.510893
0.011,-0.893238,-0.449585,-2.675292,-16.823467
0.010,-0.959147,-0.282908,-2.854768,-17.840675
0.011,-0.994882,-0.101040,-3.040380,-17.377378
0.010,-0.996694,0.081242,3.060261,-18.153170
0.010,-0.965786,0.259342,2.879252,-18.000494
0.010,-0.902660,0.430354,2.696708,-18.140467
0.010,-0.814019,0.580839,2.521834,-16.785709
0.010,-0.701641,0.712530,2.348495,-17.233473
0.011,-0.566971,0.823737,2.173621,-16.385746
0.010,-0.435830,0.900029,2.021756,-15.110016
0.011,-0.288788,0.957393,1.863757,-14.824129
0.011,-0.145183,0.989405,1.716494,-13.811222
0.010,-0.019910,0.999802,1.590708,-12.542975
0.011,0.107202,0.994237,1.463388,-11.955237
0.010,0.214638,0.976694,1.354475,-10.858916
0.011,0.323888,0.946096,1.240960,-10.672835
0.010,0.410870,0.911694,1.147388,-9.343613
0.010,0.490253,0.871580,1.058417,-8.879166
0.011,0.563224,0.826304,0.972514,-8.072746
0.011,0.626080,0.779759,0.894281,-7.360472
0.010,0.678372,0.734719,0.825252,-6.897424
0.010,0.722149,0.691738,0.763892,-6.129616
0.011,0.759229,0.650824,0.708669,-5.199243
0.010,0.790249,0.612786,0.659582,-4.905802
0.010,0.813162,0.582038,0.621232,-3.831701
0.010,0.836564,0.547869,0.579815,-4.039584
0.011,0.855369,0.518019,0.544533,-3.321191
0.011,0.872361,0.488863,0.510786,-3.176820
0.010,0.884095,0.467307,0.486242,-2.453638
0.011,0.893926,0.448214,0.464766,-2.021666
0.010,0.901362,0.433067,0.447893,-1.686604
0.011,0.905960,0.423363,0.437155,-1.010415
0.011,0.909180,0.416402,0.429485,-0.722346
0.010,0.911718,0.410816,0.423349,-0.613590
0.010,0.912974,0.408017,0.420281,-0.306610
0.010,0.909818,0.415007,0.427951,0.739689
0.011,0.907899,0.419190,0.432553,0.433083
0.011,0.904657,0.426141,0.440223,0.721937
0.011,0.897338,0.441344,0.457096,1.588199
0.010,0.889062,0.457787,0.475504,1.840470
0.011,0.880485,0.474074,0.493912,1.733220
0.011,0.865529,0.500859,0.524592,2.886774
0.011,0.850565,0.525869,0.553737,2.742714
0.011,0.828921,0.559366,0.593621,3.753110
0.010,0.805958,0.591972,0.633504,3.987284
0.011,0.776907,0.629615,0.681058,4.475202
0.010,0.743028,0.669260,0.733213,5.212121
0.010,0.704955,0.709252,0.788436,5.518435
0.010,0.661288,0.750132,0.848261,5.975962
0.011,0.600640,0.799519,0.926494,7.361834
0.010,0.540196,0.841539,1.000126,7.355009
0.010,0.470070,0.882629,1.081427,8.118688
0.011,0.381294,0.924454,1.179601,9.227728
0.011,0.285906,0.958258,1.280844,9.509801
0.010,0.181561,0.983380,1.388223,10.456851
0.011,0.059820,0.998209,1.510941,11.519907
0.010,-0.062822,0.998025,1.633660,12.239878
0.011,-0.204080,0.978954,1.776320,13.393946
0.010,-0.336862,0.941554,1.914378,13.751002
0.011,-0.482157,0.876085,2.073912,14.961198
0.010,-0.612786,0.790249,2.230378,15.570379
0.011,-0.741960,0.670444,2.406786,16.528000
0.011,-0.847291,0.531130,2.581660,16.367247
0.011,-0.931873,0.362784,2.770339,17.672871
0.010,-0.982247,0.187592,2.952883,17.483545
0.011,-0.999971,-0.007640,-3.133953,18.363184
0.011,-0.981970,-0.189039,-2.951409,17.093353
0.011,-0.928517,-0.371289,-2.761195,17.796379
0.010,-0.850565,-0.525870,-2.587856,17.236969
0.011,-0.747120,-0.664689,-2.414516,16.231234
0.010,-0.629662,-0.776870,-2.251914,16.188635
0.011,-0.496923,-0.867795,-2.090846,15.105251
0.010,-0.371345,-0.928495,-1.951254,13.906985
0.010,-0.241521,-0.970396,-1.814729,13.607339
0.011,-0.108727,-0.994072,-1.679739,12.678353
0.011,0.021444,-0.999770,-1.549351,12.232499
0.010,0.126947,-0.991910,-1.443506,10.559429
0.011,0.235504,-0.971873,-1.333059,10.377769
0.011,0.331078,-0.943603,-1.233351,9.374097
0.010,0.410816,-0.911718,-1.147448,8.578017
0.010,0.475424,-0.879757,-1.075350,7.200593
0.011,0.546585,-0.837404,-0.992516,7.792448
0.010,0.603043,-0.797709,-0.923486,6.896046
0.010,0.649658,-0.760226,-0.863661,5.830848
0.011,0.687294,-0.726380,-0.813040,4.762347
0.011,0.725283,-0.688451,-0.759350,5.052101
0.010,0.753167,-0.657829,-0.717933,4.139338
0.011,0.780718,-0.624883,-0.674982,4.042756
0.011,0.801358,-0.598185,-0.641234,3.176248
0.010,0.814019,-0.580838,-0.619758,2.147173
0.011,0.828028,-0.560686,-0.595215,2.310640
0.010,0.837371,-0.546635,-0.578341,1.686964
0.010,0.844838,-0.535023,-0.564535,1.380405
0.010,0.848916,-0.528527,-0.556865,0.738694
0.011,0.853745,-0.520692,-0.547661,0.866953
0.010,0.852143,-0.523309,-0.550729,-0.306717
0.010,0.850534,-0.525920,-0.553797,-0.306701
0.011,0.846475,-0.532428,-0.561467,-0.722413
0.011,0.839044,-0.544064,-0.575273,-1.299211
0.010,0.828028,-0.560686,-0.595215,-1.994049
0.010,0.818450,-0.574578,-0.612088,-1.687302
0.010,0.801358,-0.598185,-0.641234,-2.913844
0.010,0.784538,-0.620081,-0.668846,-2.760824
0.010,0.764159,-0.645028,-0.701059,-3.182621
0.010,0.737833,-0.674984,-0.740943,-3.986879
0.011,0.700547,-0.713606,-0.794632,-5.049277
0.010,0.663542,-0.748139,-0.845253,-5.059960
0.011,0.617624,-0.786474,-0.905079,-5.631495
0.010,0.568234,-0.822867,-0.966438,-6.124736
0.011,0.504837,-0.863215,-1.041603,-7.071016
0.011,0.435830,-0.900029,-1.119836,-7.354214
0.011,0.348391,-0.937349,-1.214943,-8.936053
0.010,0.260765,-0.965402,-1.306982,-8.977239
0.010,0.166396,-0.986059,-1.403622,-9.645189
0.010,0.053634,-0.998561,-1.517137,-11.324826
0.010,-0.052162,-0.998639,-1.622982,-10.564711
0.011,-0.180052,-0.983657,-1.751836,-12.104196
0.010,-0.316622,-0.948552,-1.892962,-14.061611
0.011,-0.453744,-0.891132,-2.041758,-13.944842
0.011,-0.584578,-0.811337,-2.195157,-14.380930
0.011,-0.713606,-0.700547,-2.365428,-15.954267
0.011,-0.821994,-0.569496,-2.535700,-15.957252
0.010,-0.906608,-0.421973,-2.705972,-16.526924
0.010,-0.965402,-0.260765,-2.877778,-17.094458
0.010,-0.996446,-0.084239,-3.057254,-17.851381
0.011,-0.994561,0.104152,3.037252,-17.647957
0.011,-0.957376,0.288845,2.848572,-17.667833
0.010,-0.892520,0.451008,2.673699,-17.398390
0.010,-0.806830,0.590784,2.509563,-16.336723
0.010,-0.697256,0.716822,2.342359,-16.637600
0.010,-0.574529,0.818484,2.182825,-15.879463
0.011,-0.437210,0.899359,2.023290,-14.952802
0.010,-0.301977,0.953315,1.877562,-14.182318
0.010,-0.172444,0.985019,1.744106,-13.292749
0.011,-0.035244,0.999379,1.606048,-12.959794
0.011,0.085827,0.996310,1.484864,-11.377689
0.010,0.193615,0.981078,1.375951,-10.869776
0.011,0.296179,0.955132,1.270106,-9.948863
0.011,0.385544,0.922689,1.174999,-8.936084
0.010,0.466003,0.884783,1.086028,-8.882670
0.011,0.533727,0.845657,1.007795,-7.357698
0.010,0.589545,0.807735,0.940300,-6.497463
0.011,0.641504,0.767120,0.874339,-6.208885
0.010,0.680623,0.732634,0.822184,-5.213162
0.010,0.716822,0.697256,0.771562,-5.058955
0.010,0.746100,0.665834,0.728611,-4.293838
0.011,0.771080,0.636739,0.690261,-3.607452
0.010,0.791188,0.611573,0.658048,-3.217916
0.011,0.809575,0.587016,0.627368,-2.890017
0.010,0.821994,0.569496,0.605892,-2.147201
0.011,0.828921,0.559366,0.593621,-1.155516
0.010,0.834034,0.551713,0.584417,-0.897929
0.010,0.838241,0.545300,0.576747,-0.766603
0.011,0.839077,0.544013,0.575213,-0.144430
0.010,0.836564,0.547869,0.579815,0.460150
0.011,0.832337,0.554269,0.587485,0.722006
0.011,0.823738,0.566971,0.602825,1.443826
0.010,0.813162,0.582038,0.621232,1.840127
0.011,0.799555,0.600592,0.644242,2.164393
0.011,0.781714,0.623638,0.673388,2.744806
0.011,0.760226,0.649659,0.707135,3.174152
0.010,0.731630,0.681702,0.750087,4.141415
0.011,0.695097,0.718916,0.802242,4.906966
0.010,0.657829,0.753167,0.852863,5.057968
0.011,0.609191,0.793024,0.915757,5.919353
0.010,0.555595,0.831453,0.981718,6.591352
0.010,0.495591,0.868556,1.052281,7.044097
0.011,0.420636,0.907229,1.136650,7.937187
0.010,0.338362,0.941016,1.225621,8.880895
0.011,0.244497,0.969650,1.323796,9.226904
0.010,0.139169,0.990269,1.431174,10.495766
0.010,0.024571,0.999698,1.546223,11.430327
0.011,-0.097988,0.995188,1.668941,11.521037
0.011,-0.236995,0.971511,1.810068,13.244648
0.011,-0.375558,0.926799,1.955796,13.672239
0.010,-0.502186,0.864759,2.096922,14.055968
0.011,-0.637921,0.770102,2.262592,15.537317
0.010,-0.753167,0.657829,2.423660,16.024429
0.011,-0.859286,0.511495,2.604669,16.949717
0.011,-0.936255,0.351321,2.782611,16.663925
0.010,-0.984475,0.175524,2.965155,17.471766
0.011,-0.999943,-0.010708,-3.130885,17.534185
0.010,-0.983391,-0.181502,-2.959079,17.094481
0.011,-0.933004,-0.359867,-2.773467,17.374086
0.010,-0.856954,-0.515392,-2.600127,17.247307
0.011,-0.757228,-0.653150,-2.429856,15.945262
0.011,-0.637967,-0.770064,-2.262652,15.654773
0.011,-0.512812,-0.858501,-2.109254,14.380906
0.011,-0.379875,-0.925038,-1.960457,13.964567
0.010,-0.253411,-0.967359,-1.827001,13.306046
0.010,-0.134610,-0.990899,-1.705817,11.944291
0.010,-0.019970,-0.999801,-1.590768,11.474899
0.011,0.097987,-0.995188,-1.472651,11.084756
0.011,0.202578,-0.979266,-1.366807,9.949811
0.010,0.290256,-0.956949,-1.276302,9.034522
0.011,0.372713,-0.927947,-1.188865,8.216557
0.011,0.446842,-0.894613,-1.107564,7.648470
0.010,0.503512,-0.863988,-1.043137,6.438255
0.011,0.560637,-0.828062,-0.975642,6.350666
0.010,0.606707,-0.794925,-0.918884,5.534855
0.011,0.646153,-0.763208,-0.868263,4.761428
0.010,0.678328,-0.734759,-0.825312,4.291260
0.011,0.707085,-0.707128,-0.785428,3.752730
0.010,0.729494,-0.683987,-0.753215,3.219526
0.011,0.747081,-0.664733,-0.727137,2.455025
0.011,0.759190,-0.650870,-0.708729,1.733682
0.011,0.771041,-0.636785,-0.690321,1.732240
0.010,0.774934,-0.632042,-0.684185,0.613468
0.011,0.778798,-0.627275,-0.678050,0.577878
0.010,0.772991,-0.634416,-0.687253,-0.897752
0.011,0.770064,-0.637967,-0.691855,-0.433049
0.011,0.764159,-0.645028,-0.701059,-0.865667
0.011,0.752157,-0.658984,-0.719467,-1.734174
0.011,0.735758,-0.677244,-0.744011,-2.309333
0.010,0.717849,-0.696199,-0.770088,-2.606961
0.011,0.689519,-0.724268,-0.809972,-3.753438
0.011,0.660092,-0.751185,-0.849855,-3.753463
0.011,0.622438,-0.782669,-0.898943,-4.618561
0.010,0.583284,-0.812268,-0.948030,-4.804917
0.010,0.534972,-0.844870,-1.006321,-5.804334
0.011,0.470017,-0.882657,-1.081486,-7.068366
0.010,0.412214,-0.911087,-1.145914,-6.434408
0.011,0.329630,-0.944110,-1.234885,-8.368992
0.010,0.247413,-0.968910,-1.320787,-8.575443
0.010,0.152768,-0.988262,-1.417428,-9.647105
0.011,0.041376,-0.999144,-1.529409,-10.519325
0.011,-0.073594,-0.997288,-1.644457,-10.806260
